,in_text,matched,similarity,first_letter_match,dmtph_match,inv_lvst_dist,jw_sim,match_score
0,Beaver Dam,BEAVER DAM,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
1,Ms. Jones,Mrs. Jones,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
2,Brian Mahoney,BRIAN MAHONEY,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
3,Kim Jong-un,Kim Jong Un,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
4,NADIA BOULANGER,Nadia Boulanger,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
5,Gov DeWine,Gov. DeWine,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
6,PLANT SALE,Plant Sale,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
7,DEAR ABBY,Dear Abby,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
8,President Carter,Mr. Carter,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
9,President Trump's,Mrs. Trump's,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
10,Pero la,Pero La,1.0000000000000002,True,0.9975273768433653,1.0,1.0,0.9997252640937072
11,President Trump's,Mr. Trump's,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
12,Bill de Blasio's,Bill De Blasio's,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
13,ALMA MAHLER,Alma Mahler,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
14,Dr Shah,Dr. Shah,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
15,Ms. Jones,Mr. Jones,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
16,President Trump,Mrs. Trump,1.0000000000000002,True,0.9975273768433653,1.0,1.0,0.9997252640937072
17,Steve McQueen,STEVE MCQUEEN,1.0000000000000002,True,0.9975273768433653,1.0,1.0,0.9997252640937072
18,Mr. Cohen,Dr. Cohen,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
19,President Trump,Mr. Trump,1.0000000000000002,True,0.9975273768433653,1.0,1.0,0.9997252640937072
20,Joe Biden,JOE BIDEN,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
21,Lady Gaga,LADY GAGA,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
22,ADIRONDACK WINE,Adirondack Wine,0.9999999999999997,True,0.9975273768433653,1.0,1.0,0.9997252640937071
23,TROY NIGHT OUT,Troy Night Out,0.9999999999999997,True,0.9975273768433653,1.0,1.0,0.9997252640937071
24,BEEKMAN STREET ART FAIR,Beekman Street Art Fair,0.9999999999999997,True,0.9975273768433653,1.0,1.0,0.9997252640937071
25,Brenda Bethune,BRENDA BETHUNE,0.9999999999999996,True,0.9975273768433653,1.0,1.0,0.9997252640937071
26,Drew Brees,Drew Brees',0.9314655220254905,True,0.7310585786300051,1.0,0.9925925925925926,0.9388348065916178
27,Martin Luther King,Dr. Martin Luther King,0.9534490271274839,True,0.7310585786300051,1.0,0.8528265107212475,0.933075688651243
28,Fair Board,Fair Board President,0.9126911725929998,True,0.7310585786300051,1.0,1.0,0.9313136965557783
29,Kareem Abdul-Jabbar,Kareem Abdul Jabar,0.8922182865950448,True,0.7310585786300051,1.0,1.0,0.9222146361122427
30,Brian Douglass,Brian Douglas,0.8910543267239632,True,0.7310585786300051,1.0,1.0,0.9216973206139841
31,Cristiano Ronaldo,Christiano Ronaldo,0.8648288241511444,True,0.7310585786300051,1.0,0.9833333333333334,0.9081896898408794
32,Robert Cooke,Robert Cook,0.8210019328036462,True,0.7310585786300051,1.0,1.0,0.8905629233160656
33,Breonna Taylor,Breonne Taylor,0.8262210434294653,True,0.7310585786300051,1.0,0.9655677655677656,0.889056724212848
34,Don Nelson,Dan Nelson,0.7876335275071109,True,0.7310585786300051,1.0,0.94,0.8690658542953832
35,Antonio Guterres,Antnio Guterres,0.7736236013615928,True,0.7310585786300051,1.0,0.9620833333333333,0.8652929241566344
36,John McCrae,John McRae,0.762382951075098,True,0.7310585786300051,1.0,0.990909090909091,0.8634999415377209
37,Nic Davis,Nic Davies,0.7299369934235742,True,0.7310585786300051,1.0,0.9933333333333333,0.8493488761841816
38,Steven Mnuchin,Steve Mnuchin,0.8832487864044715,True,8.315280276641321e-07,1.0,0.9368131868131868,0.8299787959954555
39,Susan Clark,Susanna Clark,0.8114106066013955,True,0.7310585786300051,0.5,0.9440559440559442,0.8245285498990591
40,En del,En de,0.7931193270330056,True,0.00012339457598623172,1.0,0.9722222222222223,0.7938692138811367
