,in_text,matched,similarity,first_letter_match,dmtph_match,inv_lvst_dist,jw_sim,match_score
0,Valdosta State University,VALDOSTA STATE UNIVERSITY,1.0000000000000007,True,0.9975273768433653,1.0,1.0,0.9997252640937077
1,Schaeffler Technologies AG &amp; Co. KG,SCHAEFFLER TECHNOLOGIES AG &amp; CO. KG,1.0000000000000007,True,0.9975273768433653,1.0,1.0,0.9997252640937077
2,Homeland Security,homeland security,1.0000000000000007,True,0.9975273768433653,1.0,1.0,0.9997252640937077
3,Homeland Security,HOMELAND SECURITY,1.0000000000000007,True,0.9975273768433653,1.0,1.0,0.9997252640937077
4,SCHAEFFLER TECHNOLOGIES AG &amp; CO. KG,Schaeffler Technologies AG &amp; Co KG,1.0000000000000007,True,0.9975273768433653,1.0,1.0,0.9997252640937077
5,homeland security,HOMELAND SECURITY,1.0000000000000007,True,0.9975273768433653,1.0,1.0,0.9997252640937077
6,National Fertilizers Limited,NATIONAL FERTILIZERS LIMITED,1.0000000000000007,True,0.9975273768433653,1.0,1.0,0.9997252640937077
7,Schaeffler Technologies AG &amp; Co. KG,Schaeffler Technologies AG &amp; Co KG,1.0000000000000007,True,0.9975273768433653,1.0,1.0,0.9997252640937077
8,"California State University, Fullerton",California State University Fullerton,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
9,New York Knicks,"New York, Knicks",1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
10,R.K. Lindsey Funeral Home,R. K. Lindsey Funeral Home,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
11,The New York Times,the New York Times,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
12,Washington State School Directors Association,Washington State School Directors' Association,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
13,VMware,Vmware,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
14,"Honeywell International, Inc.","HONEYWELL INTERNATIONAL, INC.",1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
15,"Honeywell International, Inc.",HONEYWELL INTERNATIONAL INC.,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
16,Vmware,VMWare,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
17,"California State University, Fullerton",California State University--Fullerton,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
18,The Department of Health,THE Department of Health,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
19,California State University Fullerton,California State University--Fullerton,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
20,California State University Long Beach,California State University--Long Beach,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
