,in_text,matched,similarity,first_letter_match,dmtph_match,inv_lvst_dist,jw_sim,match_score
0,DAVID BERNHARDT,David Bernhardt,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
1,Gretchen Whitmer,GRETCHEN WHITMER,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
2,LaKeith Stanfield,Lakeith Stanfield,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
3,Martin Luther King Jr,MARTIN LUTHER KING JR,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
4,JONATHON N. JOHNSON,Jonathon N. Johnson,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
5,Martin Luther King Jr,Martin  Luther King Jr,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
6,George H.W. Bush,George H. W. Bush,1.0000000000000004,True,0.9975273768433653,1.0,1.0,0.9997252640937074
7,John Doe,JOHN DOE,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
8,JENNIFER JILL GOOD,Jennifer Jill Good,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
9,BRENT AGUILAR,Brent Aguilar,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
10,EYE CARE,Eye Care,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
11,Mr. Johnson,Ms. Johnson,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
12,Mr. Speaker,Major Marshall,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
13,Mr. Speaker,Mrs. Marshall,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
14,Luigi Di Maio,Luigi di Maio,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
15,Mr. Biden,Mr Biden,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
16,Chief Deputy,Chief Minister,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
17,Brad Robichaux,BRAD ROBICHAUX,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
18,Chief Deputy,Chief   Minister,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
19,Mr. Biden,President Biden,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
20,Ms. Harris,Mr. Harris,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
21,Ms. Harris,Miss Harris,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
22,Ms. Bottoms,Mr. Bottoms,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
23,Mrs. Miller's,Mr. Miller's,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
24,Mr.He,He,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
25,Rep. Tabke,Rep.Tabke,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
26,Rocky Mount,ROCKY MOUNT,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
27,St. George,St George,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
28,Ms. Brown,Mr. Brown,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
29,Ms. Brown,Gen. Brown,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
30,Gov. DeWine,Gov DeWine,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
31,Katie Byard,KATIE BYARD,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
32,Mr. Black,Ms. Black,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
33,Ms. Ja,Dr. Ja,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
34,Mr. Floyd,Mr Floyd,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
35,Mr. Black,Ms Black,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
36,Ms. Black,Ms Black,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
37,Keisha Lance] Bottoms,Keisha Lance-Bottoms,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
38,JIM BRANNON,Jim Brannon,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
39,Dr. Fauci,Dr Fauci,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
40,Suri Rocha,SURI ROCHA,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
41,Ms. Warren,Mr. Warren,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
42,Angela Bassett,ANGELA BASSETT,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
43,Regina King,REGINA KING,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
44,Honorable Speaker,Honorable Minister Sir,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
45,Reba McEntire,REBA MCENTIRE,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
46,CAL FIRE,Cal Fire,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
47,Donald Trump,Donald  Trump,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
48,KaVo Kerr,Kavo Kerr,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
49,R. Civ,R.CIV,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
50,R. Civ,R. CIV,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
51,Honorable Speaker,Honorable Minister,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
52,Scott Morrison,SCOTT MORRISON,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
53,Mustafa Al-Kadhimi,Mustafa al-Kadhimi,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
54,C.D. Cal,C.D.Cal,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
55,President Johnson,Ms. Johnson,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
56,President Johnson,Dr. Johnson,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
57,MARVIN L. RAYHONS,Marvin L. Rayhons,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
58,Ms. Martin's,Mr. Martin's,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
59,Lionel] Messi,Lionel Messi,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
60,Dr. Chu,Mr. Chu,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
61,DAVID S. MAQUERA,David S. Maquera,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
62,Mark T. Esper,MARK T. ESPER,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
63,Christopher L.C. Kuberiet,Christopher L. C. Kuberiet,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
64,Ms. Warren,Dr. Warren,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
65,R.Civ,R. CIV,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
66,R.Civ,R.CIV,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
67,Ms. Patton,General Patton,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
68,Ms. Patton,Mr. Patton,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
69,Narendra Modi,Narendra  Modi,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
70,General Barr,Mr. Barr,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
71,Mr. Johnson,Dr. Johnson,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
72,Mr Patton,General Patton,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
73,Mr Patton,Mr. Patton,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
74,QU Dongyu,Qu Dongyu,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
75,MYRON STRUCK,Myron Struck,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
76,J. Crew,J.Crew,1.0,True,0.9975273768433653,1.0,1.0,0.9997252640937072
77,Kim Jong-un,Kim Jong Un,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
78,President Obama,Mr. Obama,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
79,Madam Deputy Speaker,Madam Speaker,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
80,President Obama,Mrs. Obama,0.9999999999999999,True,0.9975273768433653,1.0,1.0,0.9997252640937072
81,Ms. Young,Mr. Young,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
82,Dr. Anderson,Mrs. Anderson,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
83,Dr. Anderson,Mr. Anderson,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
84,Michael Lapierre,Michael LaPierre,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
85,Jim Mustian,JIM MUSTIAN,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
86,Mr. Pate,Mr Pate,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
87,Ms. Young,Dr Young,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
88,Boris Johnson,BORIS JOHNSON,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
89,LeBron James,Lebron James,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
90,R. App,R. APP,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
91,Prince,prince,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
92,Cristiano] Ronaldo,Cristiano Ronaldo,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
93,HAYWOOD S. GILLIAM,Haywood S. Gilliam,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
94,Omar  Wasow,Omar Wasow,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
95,Mr Andrews,Mr. Andrews,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
96,Paris Charles de Gaulle,Paris-Charles de Gaulle,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
97,Dr. King,Admiral King,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
98,Dr. King,Mr King,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
99,President Trump,Mr Trump,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
100,Rena Sue Okuly-Kelsey,RENA SUE OKULY-KELSEY,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
101,Albert Einstein,Albert] Einstein,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
102,Mr. Roy,Dr. Roy,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
103,VIOLA DAVIS,Viola Davis,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
104,President Trump,Mrs. Trump,0.9999999999999998,True,0.9975273768433653,1.0,1.0,0.9997252640937072
